description_2,group_description,description,total (CLP)
adultos,alimento,pro plan alimento seco para adulto razas medianas 15 kg,522817000.0
juguetes,accesorio,puzzle twister nivel 3,215472130.0
higiene,accesorio,alfombrilla de entrenamiento de cesped,113677260.0
cachorro,alimento,pro plan alimento seco para cachorro razas grandes 15 kg,58589390.0
antiparasitarios,medicamento,desparasitante bravecto para gatos,48763740.0
ropa,accesorio,parka premium perro con chiporro,38228050.0
snack,alimento,dingo dental stick huesitos ,30226790.0
humedo,alimento,royal canin alimento húmedo perro adulto,25100080.0
paseo,accesorio,zeedof arnés ajustable morado,24995070.0
suplementos,medicamento,siguimarina,19436740.0
comederos,accesorio,plato gato doble redondo,9865830.0
hogar-transporte,accesorio,botella de agua con contenedor de comida,8501490.0
cachorros,alimento,pro plan puppy medium breed 15kg ar,6254710.0
medicados,alimento,royal can. urinary canine 10 kg.,6162420.0
weight control,alimento,bravery light iberian pork mini adult small breeds 7 kg,5198400.0
otico,medicamentos,gel otico plus x 11.5 grs.,4819150.0
ant. ext.,medicamentos,advocate 1 x 0.4 ml,4625260.0
enriquecimiento ambiental,accesorios,habitat para hamster kleo vip,3260400.0
camas,accesorios,cama chiporro xxl catapet,3229150.0
comportamiento,medicamento,catnip spray hierba gatera,2975690.0
senior,alimento,proplan active mind rz mediana y grande 15kg,2503600.0
razas,alimento,yorkshire terrier  jr 3 kilo ,2261820.0
urinario,alimento,royal canin urinary s/o canine 1.5 kg.,1687320.0
antialergico,medicamentos,shampoo flt,1302000.0
suplemento,medicamentos,nutribound gato 150 ml,1245000.0
medicamentos,medicamentos,cytopoint 40 mg iny 30-40 k,1244980.0
antiparasitario,medicamentos,milpro gatito x 2 comp 0.5 - 2 kg,939060.0
latas medicadas,alimento,canine i/d x  lata x 370 gms,783700.0
placas identificacion,accesorios,i love you (my family),719960.0
grooming,accesorios,le salon esse. corta uða alicate s/cat,618480.0
bebederos,accesorios,catit 2.0 fuente bebedera flor led 3 lt,557910.0
antibiotico,medicamentos,veraflox   60 mg  x  7,532000.0
digestivo,medicamentos,cerenia comp. 24 mg.,508140.0
oral,medicamentos,aquadent 250ml,488240.0
analgesico,medicamentos,previcox 227mgx10c0mp,405340.0
latas,alimento,brit pate & meat turkey 400 g,372470.0
cardiaco,medicamentos,karsivan 50 mg,359900.0
ocular,medicamentos,ciprovet x 5 ml,357900.0
alimento exoticos,accesorios,complete grain free ferret diet 2.5kg.,264530.0
vitaminas,medicamentos,hematon b12 jarabe 100ml,258910.0
antimicotico,medicamentos,itraskin susp. oral 120 ml,220870.0
entrenamiento,accesorios,adiestrador de cachorros -500ml,104930.0
acc. medicos,medicamentos,chip animall tag,93500.0
ant. interno,medicamentos,paracan cachorro 15 ml,88020.0
alfalfas,accesorios,timothy carrot,85410.0
accesorios,accesorios,zeedog zee.mat black,77160.0
acc acuarios,accesorios,nf jfc more spraying 709 ml,74950.0
lata,alimento,kitten instinctive 165grsx6un,66480.0
calefactores,accesorios,calefactor aut. 50w - boyu,60640.0
